ID;Store;Date;IsHoliday;Dept;Weekly_Sales;Temperature;Fuel_Price;MarkDown1;MarkDown2;MarkDown3;MarkDown4;MarkDown5;CPI;Unemployment;Type;Size;Sales_Category;Profit_Estimate
7246;1;13/1/2012;0;17;9454,17;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;945,417
7247;1;13/1/2012;0;19;758,08;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;75,808
7249;1;13/1/2012;0;4;36582,36;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;High;3658,236
7256;1;13/1/2012;0;18;1700,85;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;170,085
7259;1;13/1/2012;0;11;24493,4;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;High;2449,34
7260;1;13/1/2012;0;7;9194,61;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;919,461
7263;1;13/1/2012;0;10;23995,69;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;High;2399,569
7267;1;13/1/2012;0;2;43353,09;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;High;4335,309
7268;1;13/1/2012;0;8;34033,89;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;High;3403,389
7275;1;13/1/2012;0;12;8111,01;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;811,101
7278;1;13/1/2012;0;16;5894,86;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;589,486
7279;1;13/1/2012;0;14;14311,83;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;1431,183
7281;1;13/1/2012;0;3;13822,49;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;1382,249
7283;1;13/1/2012;0;13;38000,25;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;High;3800,025
7287;1;13/1/2012;0;20;4485,95;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;448,595
7289;1;13/1/2012;0;5;19281,61;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;1928,161
7297;1;13/1/2012;0;9;15416,12;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;1541,612
7302;1;13/1/2012;0;6;2460,92;48,53;3,261;5183,29;8025,87;42,24;453,08;3719,38;219,8925263;7,348;3;151315;Low;246,092
7312;1;20/1/2012;0;1;18365,1;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;1836,51
7315;1;20/1/2012;0;11;20707,62;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;High;2070,762
7317;1;20/1/2012;0;7;10189,61;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;1018,961
7320;1;20/1/2012;0;2;43753,43;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;High;4375,343
7323;1;20/1/2012;0;12;9296,13;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;929,613
7326;1;20/1/2012;0;17;7968,85;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;796,885
7328;1;20/1/2012;0;18;1468,65;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;146,865
7331;1;20/1/2012;0;8;35356,12;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;High;3535,612
7332;1;20/1/2012;0;19;714,21;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;71,421
7342;1;20/1/2012;0;16;6400,8;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;640,08
7348;1;20/1/2012;0;5;19298,42;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;1929,842
7349;1;20/1/2012;0;4;33780,2;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;High;3378,02
7352;1;20/1/2012;0;10;25331,83;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;High;2533,183
7355;1;20/1/2012;0;3;11702,08;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;1170,208
7356;1;20/1/2012;0;14;12695,7;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;1269,57
7358;1;20/1/2012;0;13;37433,66;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;High;3743,366
7371;1;20/1/2012;0;6;2427,46;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;242,746
7376;1;20/1/2012;0;20;3937,59;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;393,759
7384;1;20/1/2012;0;9;13332,75;54,11;3,268;4139,87;2807,19;33,88;500,62;3400,21;219,9856893;7,348;3;151315;Low;1333,275
7385;1;27/1/2012;0;7;11228,15;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;1122,815
7386;1;27/1/2012;0;1;18378,16;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;1837,816
7388;1;27/1/2012;0;17;7237,41;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;723,741
7389;1;27/1/2012;0;2;41556,23;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;High;4155,623
7391;1;27/1/2012;0;4;33613,91;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;High;3361,391
7392;1;27/1/2012;0;11;17860,35;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;1786,035
7394;1;27/1/2012;0;12;8229,77;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;822,977
7396;1;27/1/2012;0;18;1842,47;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;184,247
7401;1;27/1/2012;0;19;720,98;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;72,098
7406;1;27/1/2012;0;10;23650,22;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;High;2365,022
7408;1;27/1/2012;0;16;6108,82;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;610,882
7409;1;27/1/2012;0;8;34644,25;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;High;3464,425
7413;1;27/1/2012;0;14;12684,05;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;1268,405
7416;1;27/1/2012;0;5;21376,42;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;High;2137,642
7426;1;27/1/2012;0;3;10613,17;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;1061,317
7435;1;27/1/2012;0;20;3364,8;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;336,48
7438;1;27/1/2012;0;13;34312,26;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;High;3431,226
7439;1;27/1/2012;0;6;1649,4;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;164,94
7448;1;27/1/2012;0;9;14728,57;54,26;3,29;1164,46;1082,74;44;11;1222,19;220,0788523;7,348;3;151315;Low;1472,857
7455;1;3/2/2012;0;17;8128,57;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;812,857
7456;1;3/2/2012;0;1;23510,49;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;High;2351,049
7458;1;3/2/2012;0;11;22429,17;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;High;2242,917
7461;1;3/2/2012;0;19;1175,9;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;117,59
7462;1;3/2/2012;0;18;3558,71;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;355,871
7463;1;3/2/2012;0;7;16556,71;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;1655,671
7468;1;3/2/2012;0;4;40274,83;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;High;4027,483
7471;1;3/2/2012;0;16;9873,73;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;987,373
7472;1;3/2/2012;0;2;54322,24;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;High;5432,224
7474;1;3/2/2012;0;10;33524,28;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;High;3352,428
7479;1;3/2/2012;0;5;28307,43;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;High;2830,743
7485;1;3/2/2012;0;12;9612,87;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;961,287
7487;1;3/2/2012;0;8;40069,47;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;High;4006,947
7490;1;3/2/2012;0;14;15583,82;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;1558,382
7493;1;3/2/2012;0;3;12485,78;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;1248,578
7495;1;3/2/2012;0;13;43478,58;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;High;4347,858
7509;1;3/2/2012;0;6;3981,09;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;398,109
7512;1;3/2/2012;0;20;4206,91;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;420,691
7523;1;3/2/2012;0;9;19427,31;56,55;3,36;34577,06;3579,21;160,53;32403,87;5630,4;220,1720153;7,348;3;151315;Low;1942,731
7601;1;17/2/2012;0;17;11684,73;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;Low;1168,473
7604;1;17/2/2012;0;18;26992,11;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;2699,211
7608;1;17/2/2012;0;19;762,59;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;Low;76,259
7610;1;17/2/2012;0;12;9262,33;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;Low;926,233
7611;1;17/2/2012;0;11;26269,87;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;2626,987
7620;1;17/2/2012;0;13;38622,92;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;3862,292
7623;1;17/2/2012;0;5;46219,96;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;4621,996
7624;1;17/2/2012;0;4;36550,46;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;3655,046
7632;1;17/2/2012;0;1;54060,1;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;5406,01
7633;1;17/2/2012;0;20;5569,54;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;Low;556,954
7637;1;17/2/2012;0;10;40409,5;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;4040,95
7643;1;17/2/2012;0;16;12648,11;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;Low;1264,811
7650;1;17/2/2012;0;14;21324,12;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;2132,412
7654;1;17/2/2012;0;9;23867,82;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;2386,782
7656;1;17/2/2012;0;8;37244,73;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;3724,473
7657;1;17/2/2012;0;3;10237,78;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;Low;1023,778
7667;1;17/2/2012;0;7;16849,62;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;Low;1684,962
7670;1;17/2/2012;0;6;4223,42;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;Low;422,342
7672;1;17/2/2012;0;2;46085,47;45,32;3,51;9873,33;11062,27;9,8;8409,31;3402,66;220,4257586;7,348;3;151315;High;4608,547
7677;1;24/2/2012;0;18;1973,92;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;197,392
7681;1;24/2/2012;0;19;988,95;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;98,895
7682;1;24/2/2012;0;20;4455,36;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;445,536
7690;1;24/2/2012;0;5;30797,88;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;3079,788
7691;1;24/2/2012;0;17;9309,63;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;930,963
7692;1;24/2/2012;0;3;10502,4;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;1050,24
7696;1;24/2/2012;0;16;19874,3;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;1987,43
7703;1;24/2/2012;0;1;20124,22;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;2012,422
7713;1;24/2/2012;0;12;11284,27;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;1128,427
7718;1;24/2/2012;0;14;18574,25;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;1857,425
7719;1;24/2/2012;0;11;21750,64;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;2175,064
7721;1;24/2/2012;0;6;3784,06;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;378,406
7724;1;24/2/2012;0;13;40079,43;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;4007,943
7727;1;24/2/2012;0;10;37507,44;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;3750,744
7729;1;24/2/2012;0;8;37204,72;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;3720,472
7732;1;24/2/2012;0;7;15956,87;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;Low;1595,687
7738;1;24/2/2012;0;4;34953,85;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;3495,385
7739;1;24/2/2012;0;9;25957,89;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;2595,789
7744;1;24/2/2012;0;2;47080,12;57,25;3,555;9349,61;7556,01;3,2;1219,92;8143,59;220,636902;7,348;3;151315;High;4708,012
7749;1;2/3/2012;0;19;761,16;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;76,116
7750;1;2/3/2012;0;3;11387,31;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;1138,731
7752;1;2/3/2012;0;16;30451,14;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;3045,114
7753;1;2/3/2012;0;14;19412,26;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;1941,226
7757;1;2/3/2012;0;5;30642,53;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;3064,253
7761;1;2/3/2012;0;18;1316,04;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;131,604
7769;1;2/3/2012;0;17;11187,42;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;1118,742
7777;1;2/3/2012;0;20;5446,7;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;544,67
7781;1;2/3/2012;0;12;11994,48;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;1199,448
7784;1;2/3/2012;0;8;40307,19;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;4030,719
7785;1;2/3/2012;0;1;20113,03;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;2011,303
7787;1;2/3/2012;0;4;38459,98;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;3845,998
7789;1;2/3/2012;0;6;6464,52;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;646,452
7799;1;2/3/2012;0;7;16473,91;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;Low;1647,391
7804;1;2/3/2012;0;13;44565,32;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;4456,532
7806;1;2/3/2012;0;9;30503,3;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;3050,33
7807;1;2/3/2012;0;11;23286,46;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;2328,646
7814;1;2/3/2012;0;2;52608,51;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;5260,851
7816;1;2/3/2012;0;10;39036,14;60,96;3,63;15441,4;1569;10,8;25390,88;8067,61;220,8480454;7,348;3;151315;High;3903,614
7818;1;9/3/2012;0;1;21140,07;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;2114,007
7822;1;9/3/2012;0;5;25492,21;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;2549,221
7825;1;9/3/2012;0;12;11947,03;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;1194,703
7828;1;9/3/2012;0;8;36553,82;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;3655,382
7829;1;9/3/2012;0;14;16528,29;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;1652,829
7834;1;9/3/2012;0;13;40001,72;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;4000,172
7837;1;9/3/2012;0;17;11553,98;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;1155,398
7843;1;9/3/2012;0;6;4183,3;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;418,33
7844;1;9/3/2012;0;11;23169,16;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;2316,916
7846;1;9/3/2012;0;20;7272,2;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;727,22
7847;1;9/3/2012;0;16;32633,81;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;3263,381
7850;1;9/3/2012;0;18;1126,04;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;112,604
7854;1;9/3/2012;0;4;38934,77;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;3893,477
7858;1;9/3/2012;0;3;11925,71;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;1192,571
7863;1;9/3/2012;0;10;34858,03;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;3485,803
7866;1;9/3/2012;0;19;1514,62;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;151,462
7869;1;9/3/2012;0;9;28291,68;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;2829,168
7873;1;9/3/2012;0;2;48563,69;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;High;4856,369
7883;1;9/3/2012;0;7;17500,24;58,76;3,669;10331,04;151,88;6;671,43;5509,84;221,0591887;7,348;3;151315;Low;1750,024
7893;1;16/3/2012;0;4;38125,32;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;3812,532
7894;1;16/3/2012;0;17;8523,56;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;Low;852,356
7896;1;16/3/2012;0;1;22366,88;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;2236,688
7900;1;16/3/2012;0;12;12178,8;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;Low;1217,88
7902;1;16/3/2012;0;16;44960,02;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;4496,002
7904;1;16/3/2012;0;13;38322,83;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;3832,283
7906;1;16/3/2012;0;8;36141,27;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;3614,127
7908;1;16/3/2012;0;18;1630,41;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;Low;163,041
7909;1;16/3/2012;0;5;29345,72;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;2934,572
7912;1;16/3/2012;0;2;47346,32;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;4734,632
7921;1;16/3/2012;0;3;8845,73;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;Low;884,573
7931;1;16/3/2012;0;11;24841,76;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;2484,176
7933;1;16/3/2012;0;19;1273,4;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;Low;127,34
7934;1;16/3/2012;0;14;12757,86;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;Low;1275,786
7935;1;16/3/2012;0;9;37941,84;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;High;3794,184
7943;1;16/3/2012;0;6;3905,72;64,74;3,734;4298,16;7,5;2,02;2724,65;2017,69;221,2118132;7,348;3;151315;Low;390,572
